artist,title,year,gender,birth_year,casing,is_uniform
Bruno Mars,Just the Way You Are,2010,male,1985.0,mixed,mixed
Don Omar,Danza Kuduro,2010,male,1978.0,mixed,mixed
Eminem,Love The Way You Lie,2010,male,1972.0,mixed,mixed
Bruno Mars,Talking to the Moon,2010,male,1985.0,mixed,mixed
Bruno Mars,Grenade,2010,male,1985.0,mixed,mixed
Katy Perry,Last Friday Night,2010,female,1984.0,mixed,mixed
Taio Cruz,Dynamite,2010,male,1980.0,mixed,mixed
Katy Perry,Firework,2010,female,1984.0,mixed,mixed
Eminem,Not Afraid,2010,male,1972.0,mixed,mixed
Rihanna,Only Girl,2010,female,1988.0,mixed,mixed
Rihanna,S&M,2010,female,1988.0,upper,uniform
Bruno Mars,Marry You,2010,male,1985.0,mixed,mixed
Kanye West,POWER,2010,female,1977.0,upper,uniform
Bruno Mars,The Lazy Song,2010,male,1985.0,mixed,mixed
Justin Bieber,Baby,2010,male,1994.0,mixed,mixed
Katy Perry,The One That Got Away,2010,female,1984.0,mixed,mixed
Shakira,Waka Waka,2010,female,1977.0,mixed,mixed
Nicki Minaj,Super Bass,2010,female,1982.0,mixed,mixed
B.o.B,Airplanes,2010,male,1988.0,mixed,mixed
Taylor Swift,Enchanted,2010,female,1989.0,mixed,mixed
Katy Perry,California Gurls,2010,female,1984.0,mixed,mixed
Katy Perry,Teenage Dream,2010,female,1984.0,mixed,mixed
Stromae,Alors on danse,2010,male,1985.0,mixed,mixed
Kanye West,All Of The Lights,2010,female,1977.0,mixed,mixed
Waka Flocka Flame,No Hands,2010,male,1986.0,mixed,mixed
Bruno Mars,Count on Me,2010,male,1985.0,mixed,mixed
Wiz Khalifa,Black and Yellow,2010,male,1987.0,mixed,mixed
Kid Cudi,Pursuit Of Happiness,2010,male,1984.0,mixed,mixed
Mac Miller,The Spins,2010,male,1992.0,mixed,mixed
Kanye West,Runaway,2010,female,1977.0,mixed,mixed
B.o.B,Nothin' on You,2010,male,1988.0,mixed,mixed
Sean Kingston,Eenie Meenie,2010,male,1990.0,mixed,mixed
Christina Perri,Jar of Hearts,2010,female,1986.0,mixed,mixed
Flo Rida,Club Can't Handle Me,2010,male,1979.0,mixed,mixed
Rihanna,What's My Name?,2010,female,1988.0,mixed,mixed
Nelly,Just A Dream,2010,male,1974.0,mixed,mixed
Kid Cudi,Mr. Rager,2010,male,1984.0,mixed,mixed
Enrique Iglesias,Cuando Me Enamoro,2010,male,1975.0,mixed,mixed
Bruno Mars,Runaway Baby,2010,male,1985.0,mixed,mixed
Kanye West,Devil In A New Dress,2010,female,1977.0,mixed,mixed
