title,artist,release_year,explicit,energy,valence,casing,is_uniform
TiK ToK,Kesha,2010,False,0.837,0.714,mixed,mixed
Need You Now,Lady A,2010,False,0.622,0.231,mixed,mixed
"Hey, Soul Sister",Train,2010,False,0.886,0.795,mixed,mixed
California Gurls,Katy Perry,2012,False,0.754,0.425,mixed,mixed
OMG,USHER,2010,False,0.745,0.326,upper,uniform
Airplanes,B.o.B,2010,True,0.867,0.377,mixed,mixed
Love The Way You Lie,Eminem,2010,True,0.925,0.641,mixed,mixed
Dynamite,Taio Cruz,2010,False,0.804,0.8180000000000001,mixed,mixed
Break Your Heart,Taio Cruz,2010,False,0.899,0.629,mixed,mixed
Nothin' on You,B.o.B,2010,False,0.853,0.743,mixed,mixed
I Like It,Enrique Iglesias,2010,False,0.94,0.704,mixed,mixed
In My Head,Jason Derulo,2010,False,0.739,0.852,mixed,mixed
Teenage Dream,Katy Perry,2012,False,0.804,0.605,mixed,mixed
Just the Way You Are,Bruno Mars,2010,False,0.841,0.424,mixed,mixed
Cooler Than Me,Mike Posner,2010,False,0.8240000000000001,0.623,mixed,mixed
DJ Got Us Fallin' In Love,USHER,2010,False,0.861,0.654,mixed,mixed
Billionaire,Travie McCoy,2010,True,0.673,0.659,mixed,mixed
Not Afraid,Eminem,2010,True,0.954,0.668,mixed,mixed
Sexy Bitch,David Guetta,2011,True,0.627,0.801,mixed,mixed
Your Love Is My Drug,Kesha,2010,False,0.612,0.756,mixed,mixed
Find Your Love,Drake,2010,False,0.614,0.758,mixed,mixed
Ridin' Solo,Jason Derulo,2010,False,0.8300000000000001,0.578,mixed,mixed
Just A Dream,Nelly,2010,False,0.752,0.103,mixed,mixed
How Low,Ludacris,2010,True,0.498,0.418,mixed,mixed
Like A G6,Far East Movement,2010,False,0.837,0.778,mixed,mixed
Club Can't Handle Me,Flo Rida,2010,False,0.882,0.525,mixed,mixed
Whatcha Say,Jason Derulo,2010,False,0.711,0.711,mixed,mixed
Baby,Justin Bieber,2010,False,0.859,0.535,mixed,mixed
Mine,Taylor Swift,2010,False,0.757,0.658,mixed,mixed
Only Girl,Rihanna,2010,False,0.71,0.632,mixed,mixed
Blah Blah Blah,Kesha,2010,True,0.836,0.519,mixed,mixed
Bottoms Up,Trey Songz,2010,True,0.601,0.329,mixed,mixed
According To You,Orianthi,2010,False,0.917,0.552,mixed,mixed
My Chick Bad,Ludacris,2010,True,0.723,0.757,mixed,mixed
Take It Off,Kesha,2010,False,0.675,0.74,mixed,mixed
Over,Drake,2010,True,0.845,0.45,mixed,mixed
Animal,Neon Trees,2010,False,0.833,0.74,mixed,mixed
Misery,Maroon 5,2010,False,0.811,0.711,mixed,mixed
Magic,B.o.B,2010,False,0.932,0.787,mixed,mixed
Your Love,Nicki Minaj,2010,True,0.52,0.184,mixed,mixed
Deuces,Chris Brown,2011,True,0.736,0.217,mixed,mixed
Impossible,Shontelle,2010,False,0.624,0.539,mixed,mixed
My First Kiss,3OH!3,2010,False,0.889,0.8270000000000001,mixed,mixed
All I Do Is Win,DJ Khaled,2010,True,0.781,0.277,mixed,mixed
I Made It,Kevin Rudolf,2010,True,0.954,0.577,mixed,mixed
Stuck Like Glue,Sugarland,2010,False,0.795,0.836,mixed,mixed
There Goes My Baby,USHER,2010,False,0.52,0.257,mixed,mixed
