artist,type,gender,start_date
Taylor Swift,individual,female,1989
Drake,individual,male,1986
BTS,group,,2010
Bad Bunny,individual,male,1994
The Weeknd,individual,male,1990
Ariana Grande,individual,female,1993
Ed Sheeran,individual,male,1991
Post Malone,individual,male,1995
Lana Del Rey,individual,female,1985
Billie Eilish,individual,female,2001
Travis Scott,individual,male,1991
Justin Bieber,individual,male,1994
One Direction,group,,2010
Juice WRLD,individual,male,1998
Kanye West,individual,female,1977
Kendrick Lamar,individual,male,1987
XXXTENTACION,individual,male,1998
Imagine Dragons,group,,2008
J. Cole,individual,male,1985
Rihanna,individual,female,1988
J Balvin,individual,male,1985
Harry Styles,individual,male,1994
Twenty One Pilots,group,,2009
Eminem,individual,male,1972
Lil Uzi Vert,individual,female,1995
KAROL G,individual,female,1991
SZA,individual,female,1989
David Guetta,individual,male,1967
Kygo,individual,male,1991
Calvin Harris,individual,male,1984
Maluma,individual,male,1994
Mac Miller,individual,male,1992
Morgan Wallen,individual,male,1993
Shawn Mendes,individual,male,1998
Dua Lipa,individual,female,1995
"Tyler, The Creator",individual,male,1991
Bruno Mars,individual,male,1985
Nicki Minaj,individual,female,1982
Future,individual,male,
Beyoncé,individual,female,1981
BLACKPINK,group,,
Lil Peep,group,,1996
Rauw Alejandro,individual,male,1993
Doja Cat,individual,female,1995
Sam Smith,individual,female,1992
Frank Ocean,individual,male,1987
Daddy Yankee,individual,male,1977
Adele,individual,female,1988
Khalid,individual,male,1998
The Chainsmokers,group,,2014
Lady Gaga,individual,female,1986
Coldplay,group,,1997
Sia,individual,female,1975
Jason Derulo,individual,male,1989
Marília Mendonça,individual,female,1995
OneRepublic,group,,2002
Maroon 5,group,,1994
Pop Smoke,individual,male,1999
Bizarrap,individual,male,1998
The Neighbourhood,group,,2011
Lil Baby,individual,male,1994
NF,group,,
Chris Brown,individual,male,1989
Luke Combs,individual,male,1990
Banda MS de Sergio Lizárraga,,,
Katy Perry,individual,female,1984
Selena Gomez,individual,female,1992
Ozuna,individual,male,1992
Anuel AA,,,
Lorde,individual,female,1996
Trippie Redd,individual,male,1999
Playboi Carti,individual,male,1995
Nicky Jam,individual,male,1981
Metro Boomin,individual,male,1993
Camilo,group,,
Joji,individual,male,1992
Melanie Martinez,individual,female,1995
Halsey,group,,
21 Savage,individual,male,1992
Olivia Rodrigo,individual,female,2003
Morat,group,,
Avicii,group,,1989
Henrique & Juliano,group,,
$uicideboy$,,,
Pitbull,group,,
Machine Gun Kelly,group,,
Sebastian Yatra,individual,male,1994
TWICE,group,,2015
Peso Pluma,individual,male,1999
Tiësto,individual,male,1969
Polo G,individual,male,1999
The Kid LAROI,individual,male,2003
Alan Walker,individual,male,1997
Camila Cabello,individual,female,1997
Wiz Khalifa,individual,male,1987
Shakira,individual,female,1977
G-Eazy,individual,male,1989
