track_id,title,artist,album,release_date,popularity,duration_ms,explicit,year,ranking,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3y4LxiYMgDl4RethdzpmNe,Breathe,Faith Hill,Breathe,1999-11-09,69,250546,False,2000,1,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,4
0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),Santana,Supernatural (Remastered),1999-06-15,73,294986,False,2000,2,0.609,0.923,9,-3.908,1,0.0338,0.16,4.7300000000000005e-06,0.295,0.961,115.996,4
3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),Santana,Supernatural (Remastered),1999-06-15,79,261973,False,2000,3,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,4
1m2xMsxbtxv21Brome189p,I Wanna Know,Joe,My Name Is Joe,2000-04-18,69,296693,False,2000,4,0.725,0.487,8,-5.959,0,0.0368,0.26,1.0900000000000002e-05,0.431,0.599,136.086,4
4cKGldbhGJniI8BrB3K6tb,Everything You Want,Vertical Horizon,Everything You Want,1999-06-14,64,257066,False,2000,5,0.636,0.761,3,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,4
6WAhLCL1XchQzYjl15rnFp,Say My Name,Destiny's Child,Say My Name,2000-02-21,47,268026,False,2000,6,0.632,0.631,5,-3.801,0,0.13,0.311,0.0,0.142,0.684,68.88,4
5FK9fAMj2bvQQ4sAqbN5v3,I Knew I Loved You,Savage Garden,I Knew I Loved You,1999-09-28,25,250493,False,2000,7,0.609,0.5,9,-9.872,1,0.0278,0.296,0.000136,0.0821,0.73,84.982,4
6qc34bnVOyqGDPni8H5W0U,Amazed,Lonestar,Lonely Grill,1999,72,240866,False,2000,8,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,4
6fA7akEuTUL3dW1V0GELaZ,Bent,Matchbox Twenty,Mad Season,2000-05-23,58,256133,False,2000,9,0.518,0.8300000000000001,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,4
7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,Toni Braxton,The Heat,2000,70,261933,False,2000,10,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.1400000000000004e-05,0.326,0.766,88.009,4
1ZozJfi8u9cO2Ob8KwiwNT,Higher,Creed,Human Clay,1999-01-01,76,316733,False,2000,11,0.459,0.8300000000000001,2,-6.254,1,0.0364,5.1500000000000005e-05,0.00014,0.206,0.431,155.827,4
6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,Aaliyah,2001-07-07,71,284640,False,2000,12,0.794,0.662,6,-4.913,0,0.249,0.0789,0.0,0.0937,0.683,93.053,4
4RLTvoObapQSV9fyjhWB29,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'",2000-07-04,31,227600,False,2000,13,0.761,0.6880000000000001,1,-4.503,1,0.0601,0.00515,0.00153,0.0358,0.718,88.99,4
5Mmk2ii6laakqfeCT7OnVD,Thong Song,Sisqo,Unleash The Dragon,1999-01-01,73,253733,True,2000,14,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,4
