Artist and Title,Streams,Daily,year
Bruno Mars - Just the Way You Are,1839914259,1270419.0,2010
Don Omar - Danza Kuduro,1436020470,1008435.0,2010
Eminem - Love The Way You Lie,1364226184,1101922.0,2010
"Train - Hey, Soul Sister",1356182038,689158.0,2010
Maroon 5 - Moves Like Jagger,1289901794,951100.0,2010
Bruno Mars - Talking to the Moon,1201720305,964307.0,2010
Bruno Mars - Grenade,1176057743,814001.0,2010
Miguel - Sure Thing,1143980359,1208432.0,2010
Katy Perry - Last Friday Night (T.G.I.F.),998445689,825198.0,2010
Taio Cruz - Dynamite,978583559,507943.0,2010
Katy Perry - Firework,958948992,614079.0,2010
Eminem - Not Afraid,937825105,471555.0,2010
Rihanna - Only Girl (In The World),916033333,901680.0,2010
Rihanna - S&M,894693382,669446.0,2010
Bruno Mars - Marry You,885663383,625415.0,2010
Kanye West - POWER,878590883,348516.0,2010
Bruno Mars - The Lazy Song,860858431,541061.0,2010
Justin Bieber - Baby,829395455,707530.0,2010
Katy Perry - The One That Got Away,816133424,609737.0,2010
One Direction - Perfect,779186953,399819.0,2010
Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],771598263,332492.0,2010
Nicki Minaj - Super Bass,766534759,562407.0,2010
B.o.B - Airplanes,740384712,342734.0,2010
Taylor Swift - Enchanted,735714495,526006.0,2010
Katy Perry - California Gurls,733060001,470677.0,2010
Two Door Cinema Club - What You Know,729856623,425931.0,2010
USHER - DJ Got Us Fallin' In Love,729016701,470028.0,2010
Plan B - Es un Secreto,719345675,1202763.0,2010
Patrick Watson - Je te laisserai des mots,681771860,826149.0,2010
Katy Perry - Teenage Dream,655741255,535297.0,2010
Far East Movement - Like A G6,634197755,331751.0,2010
P!nk - Raise Your Glass,618673480,360351.0,2010
Stromae - Alors on danse,612924385,370424.0,2010
Kanye West - All Of The Lights,612594009,382124.0,2010
Waka Flocka Flame - No Hands,609535017,282137.0,2010
Travie McCoy - Billionaire,607670682,347423.0,2010
Bruno Mars - Count on Me,599507064,292389.0,2010
Wiz Khalifa - Black and Yellow,590238490,261240.0,2010
Kid Cudi - Pursuit Of Happiness,581162646,169284.0,2010
Mac Miller - The Spins,570571854,522629.0,2010
John Lennon - Happy Xmas (War Is Over),563216732,495512.0,2010
Kanye West - Runaway,551998490,1135037.0,2010
B.o.B - Nothin' on You,545762804,366431.0,2010
Gorillaz - On Melancholy Hill,525399660,256235.0,2010
Sean Kingston - Eenie Meenie,521891751,365912.0,2010
Christina Perri - Jar of Hearts,504317936,176901.0,2010
Roar - I Can't Handle Change,497855875,378257.0,2010
Flo Rida - Club Can't Handle Me,493452552,490157.0,2010
Rihanna - What's My Name?,461759526,338939.0,2010
Nelly - Just A Dream,456037954,260753.0,2010
Black Eyed Peas - Just Can’t Get Enough,447470333,458018.0,2010
Kid Cudi - Mr. Rager,441231868,280057.0,2010
Lady A - Need You Now,419028814,218400.0,2010
Enrique Iglesias - Cuando Me Enamoro,406069935,389790.0,2010
Gorillaz - Rhinestone Eyes,404933648,249575.0,2010
Bruno Mars - Runaway Baby,398844004,262620.0,2010
Kanye West - Devil In A New Dress,394047916,410143.0,2010
The Black Keys - Howlin' for You,390993063,154708.0,2010
Taylor Swift - Back To December,369044410,182993.0,2010
CeeLo Green - Fuck You,363010670,107675.0,2010
Dread Mar I - Tu Sin Mi,362021248,251337.0,2010
Angus & Julia Stone - Big Jet Plane,360120876,216052.0,2010
Jeremih - Down On Me,358987000,200893.0,2010
Zac Brown Band - Knee Deep,358554969,164874.0,2010
Jason Derulo - In My Head,357752630,114377.0,2010
Miguel - Girl With The Tattoo Enter.lewd,355947539,517318.0,2010
Kavinsky - Nightcall,354040740,222409.0,2010
Jason Aldean - Dirt Road Anthem,341126926,136299.0,2010
Kanye West - Monster,339022605,150412.0,2010
Neon Trees - Animal,337150310,141889.0,2010
DJ Khaled - All I Do Is Win,335042099,94141.0,2010
Rihanna - Man Down,333044191,138989.0,2010
Nelly Furtado - Broken Strings,331892214,140446.0,2010
Breakbot - Baby I'm Yours,331306473,96510.0,2010
Jason Derulo - Ridin' Solo,331123082,196471.0,2010
Avenged Sevenfold - Nightmare,327102693,175066.0,2010
USHER - OMG,326922925,135015.0,2010
Hans Zimmer - Time,322629784,139606.0,2010
The Band Perry - If I Die Young,321692765,94674.0,2010
Katy Perry - E.T.,321051116,220140.0,2010
Plan B - Si No Le Contesto,320265942,413931.0,2010
Prince Royce - Corazón Sin Cara,320090204,183039.0,2010
Ellie Goulding - Lights,318990771,104582.0,2010
Camila - Mientes,317949139,283651.0,2010
Two Door Cinema Club - Undercover Martyn,317770104,196571.0,2010
Robyn - Dancing On My Own,316278059,101622.0,2010
Coldplay - Christmas Lights,314836831,322337.0,2010
Eminem - No Love,311255245,114884.0,2010
Lupe Fiasco - The Show Goes On,310014425,100083.0,2010
Diddy - Dirty Money - Coming Home,308977111,91587.0,2010
Dr. Dog - Where'd All the Time Go?,307985637,308498.0,2010
P!nk - F**kin' Perfect,307691796,152358.0,2010
Kid Cudi - Erase Me,300068091,110149.0,2010
Maroon 5 - Misery,299290369,154730.0,2010
Eminem - Cinderella Man,297238047,96749.0,2010
Eminem - Space Bound,294989556,103192.0,2010
The Script - For the First Time,294785072,125350.0,2010
Calle 13 - Muerte En Hawaii,294533925,134286.0,2010
bôa - Duvet,292531445,618730.0,2010
Daddy Yankee - La Despedida,289496006,215458.0,2010
Trey Songz - Bottoms Up,287125315,140433.0,2010
Kesha - We R Who We R,279103757,116801.0,2010
Mohombi - Bumpy Ride,277772701,110010.0,2010
Rihanna - California King Bed,273639183,102412.0,2010
Lil Wayne - Right Above It,273180659,90055.0,2010
Black Eyed Peas - The Time (Dirty Bit),272305515,118901.0,2010
Pitbull - Hey Baby (Drop It to the Floor),270998411,255337.0,2010
Justin Bieber - Never Say Never,270905903,246064.0,2010
The Naked And Famous - Young Blood,268035130,80944.0,2010
Train - Marry Me,267905030,64960.0,2010
Nicki Minaj - Moment 4 Life,266595704,167034.0,2010
Mac Miller - Knock Knock,262498200,108704.0,2010
Two Door Cinema Club - Something Good Can Work,256546788,95984.0,2010
Justin Bieber - Somebody To Love,253439011,166519.0,2010
Aloe Blacc - I Need A Dollar,248944578,82065.0,2010
Swedish House Mafia - One (Your Name),244642752,113368.0,2010
Rihanna - Love The Way You Lie (Part II),243015185,81266.0,2010
Andy Grammer - Keep Your Head Up (Album Version),242497774,70772.0,2010
Skillet - Awake and Alive,241267862,140447.0,2010
My Chemical Romance - Na Na Na (Na Na Na Na Na Na Na Na Na),238383688,92255.0,2010
Drake - Over,234211578,143525.0,2010
Plan B - Por Que Te Demoras?,233240516,367180.0,2010
David Guetta - Who's That Chick?,229375224,156971.0,2010
The Black Keys - Tighten Up,229319070,87812.0,2010
MARINA - Oh No!,228634321,177839.0,2010
Cartel De Santa - Bombos y Tarolas,226307646,107538.0,2010
Kylie Minogue - Santa Baby,224758962,331369.0,2010
Ellie Goulding - Your Song,223227059,62290.0,2010
Enrique Iglesias - I Like It,222532214,109753.0,2010
Far East Movement - Rocketeer,220596814,101873.0,2010
J Boog - Let's Do It Again,220108634,55433.0,2010
Taylor Swift - Mean,220000181,63340.0,2010
Kesha - Your Love Is My Drug,216571867,101912.0,2010
Enrique Iglesias - Tonight (I'm Fuckin' You),216511748,69229.0,2010
Zac Brown Band - Colder Weather,215813478,118913.0,2010
Taylor Swift - Mine,214310892,59339.0,2010
Shakira - Rabiosa,213228760,113937.0,2010
Calle 13 - La Vuelta Al Mundo,211815690,105295.0,2010
Rick Ross - Aston Martin Music,211511528,99575.0,2010
Juan Gabriel - ¿Por Qué Me Haces Llorar?,210852886,165708.0,2010
T.I. - That's All She Wrote,202105821,49309.0,2010
Kanye West - Gorgeous,200563885,126193.0,2010
Kanye West - Dark Fantasy,198507054,130011.0,2010
Mike Posner - Please Don't Go,198181103,59581.0,2010
Billy Ocean - Love Really Hurts Without You,196752681,102603.0,2010
Kesha - Backstabber,195988405,152556.0,2010
Zaz - Je veux,195280759,106627.0,2010
Gyptian - Hold You,195167888,69029.0,2010
Skrillex - Scary Monsters and Nice Sprites,194616410,36605.0,2010
Justin Bieber - That Should Be Me,190224921,160568.0,2010
Roar - Christmas Kids,190213954,277845.0,2010
Mac Miller - Nikes on My Feet,190117835,155566.0,2010
Kings of Leon - Pyro,188375488,97020.0,2010
Camila - Aléjate de Mí,187806660,116654.0,2010
Don Omar - Hooka,187779862,208671.0,2010
Drake - Up All Night,187772483,77879.0,2010
Prince Royce - Rechazame,186273581,142422.0,2010
Billy Ocean - Caribbean Queen (No More Love On the Run),183952028,123868.0,2010
MARINA - Are You Satisfied?,183671347,167041.0,2010
B.o.B - Magic,183381533,59470.0,2010
Nelly Furtado - Fotografía,183141580,155631.0,2010
Don Omar - Taboo,182979086,133143.0,2010
Taylor Swift - Better Than Revenge,182906573,77925.0,2010
Volbeat - A Warrior's Call,182719687,65466.0,2010
Kesha - Take It Off,182317626,92440.0,2010
Tim Berg - Bromance,181283945,60382.0,2010
Avenged Sevenfold - Welcome to the Family,178817375,70537.0,2010
DJ Antoine - Ma Chérie,177785554,101194.0,2010
CeeLo Green - Forget You,176713651,75775.0,2010
Marco Antonio Solís - ¿A Dónde Vamos A Parar?,176619537,117587.0,2010
Avenged Sevenfold - So Far Away,176007531,110805.0,2010
Taylor Swift - Sparks Fly,174571859,52066.0,2010
Jeremih - Love Don't Change,174406198,61833.0,2010
Kesha - Cannibal,173741929,73826.0,2010
Bullet For My Valentine - Your Betrayal,173159033,73359.0,2010
Shakira - Loca,170024146,84100.0,2010
Juan Luis Guerra 4.40 - Bachata En Fukuoka,169925812,169167.0,2010
Blake Shelton - Honey Bee,169282215,40529.0,2010
Men Without Hats - The Safety Dance,169079152,75840.0,2010
Miguel - All I Want Is You,167955514,158550.0,2010
A Day To Remember - All I Want,167731015,69405.0,2010
Chiddy Bang - Opposite of Adults,166884321,31499.0,2010
Ludacris - My Chick Bad,165792342,61488.0,2010
Drake - Find Your Love,162730155,85707.0,2010
Keri Hilson - Pretty Girl Rock,162350692,45519.0,2010
Train - Shake Up Christmas,162110033,156025.0,2010
Arcade Fire - The Suburbs,160675935,69296.0,2010
Kesha - Blow,159032519,91289.0,2010
Macklemore - And We Danced,158986400,36537.0,2010
Prince Royce - Stand by Me,157873420,52893.0,2010
Canserbero - Pensando en Ti,157391453,215024.0,2010
Blake Shelton - God Gave Me You,156411905,33179.0,2010
DJ Antoine - Welcome to St. Tropez,156156496,54407.0,2010
Josh Turner - Why Don't We Just Dance,152922710,77634.0,2010
Plan B - ¿Por Que Te Demoras?,152569830,256725.0,2010
Willie Colón - Idilio,149030408,114891.0,2010
Taylor Swift - The Story Of Us,148099736,30575.0,2010
Bruno Mars - Liquor Store Blues,147768095,43558.0,2010
Dread Mar I - Arbol Sin Hojas,147667935,92404.0,2010
Linkin Park - Waiting for the End,147147211,63812.0,2010
Shakira - Addicted to You,146797083,88743.0,2010
MARINA - Hermit the Frog,145479803,94675.0,2010
Tinie Tempah - Pass Out,145402846,37667.0,2010
Eminem - 25 To Life,143894173,30910.0,2010
Bill Evans - Blue In Green,143348812,62375.0,2010
Big Time Rush - Boyfriend,141656937,59881.0,2010
Taylor Swift - Speak Now,138953210,39900.0,2010
Mac Miller - Kool Aid & Frozen Pizza,137644151,88770.0,2010
Taylor Swift - Dear John,137625426,28461.0,2010
ONE OK ROCK - Wherever you are,137590795,89642.0,2010
